entry_time,exit_time,entry_price,exit_price,qty,pnl,bars_held,exit_reason,return_pct
2025-01-03 09:15:00+05:30,2025-01-03 15:15:00+05:30,24042.2,23990.15,4,-256.1999999999971,6,momentum_failed,-0.2561999999999971
2025-01-20 12:15:00+05:30,2025-01-20 15:15:00+05:30,23359.7,23337.05,4,-138.60000000000582,3,eod,-0.13860000000000583
2025-01-23 12:15:00+05:30,2025-01-23 15:15:00+05:30,23244.55,23216.3,4,-161.0,3,eod,-0.161
2025-01-24 10:15:00+05:30,2025-01-24 12:15:00+05:30,23279.2,23216.5,4,-298.8000000000029,2,momentum_failed,-0.29880000000000295
2025-01-29 11:15:00+05:30,2025-01-29 15:15:00+05:30,23120.95,23176.2,4,173.0,4,eod,0.173
2025-01-30 09:15:00+05:30,2025-01-30 15:15:00+05:30,23271.4,23297.95,4,58.19999999999709,6,eod,0.05819999999999709
2025-01-31 09:15:00+05:30,2025-01-31 15:15:00+05:30,23340.2,23533.85,4,726.5999999999913,6,eod,0.7265999999999913
2025-02-01 09:15:00+05:30,2025-02-01 15:15:00+05:30,23555.9,23495.3,4,-290.40000000000873,6,momentum_failed,-0.29040000000000876
2025-02-04 10:15:00+05:30,2025-02-04 15:15:00+05:30,23506.5,23707.7,4,756.8000000000029,5,eod,0.7568000000000029
2025-02-05 09:15:00+05:30,2025-02-05 15:15:00+05:30,23746.4,23686.75,4,-286.6000000000058,6,eod,-0.2866000000000058
2025-03-05 12:15:00+05:30,2025-03-05 15:15:00+05:30,22348.8,22346.65,4,-56.59999999999127,3,eod,-0.05659999999999127
2025-03-06 09:15:00+05:30,2025-03-06 15:15:00+05:30,22331.6,22529.2,4,742.4000000000087,6,eod,0.7424000000000087
2025-03-07 09:15:00+05:30,2025-03-07 15:15:00+05:30,22605.7,22536.95,4,-323.0,6,eod,-0.32299999999999995
2025-03-10 09:15:00+05:30,2025-03-10 12:15:00+05:30,22631.75,22601.8,4,-167.8000000000029,3,momentum_failed,-0.16780000000000292
2025-03-13 09:15:00+05:30,2025-03-13 11:15:00+05:30,22545.1,22443.2,4,-455.59999999999127,2,momentum_failed,-0.45559999999999123
2025-03-17 11:15:00+05:30,2025-03-17 12:15:00+05:30,22510.1,22467.6,4,-218.0,1,momentum_failed,-0.218
2025-03-17 14:15:00+05:30,2025-03-17 15:15:00+05:30,22510.5,22515.25,4,-29.0,1,eod,-0.029
